ID	gene_name	Systematic ID	gRNA_cluster_order1	Source	time_points	Status	A	um	lam	t10	t50	t90	t_window	t_inflection	y_inflection	auc	AIC	BIC	R2	RMSE	normalized_RMSE	M_G0Tet	M_YES1_Tet	M_YES2_Tet	M_YES3_Tet	M_YES4_Tet	M_YES5_Tet	M_G0Tet_fitted	M_YES1_Tet_fitted	M_YES2_Tet_fitted	M_YES3_Tet_fitted	M_YES4_Tet_fitted	M_YES5_Tet_fitted	M_G0Tet_residual	M_YES1_Tet_residual	M_YES2_Tet_residual	M_YES3_Tet_residual	M_YES4_Tet_residual	M_YES5_Tet_residual	gRNA_cluster_order1
SPAC17G8.01c_136	trl1	SPAC17G8.01c	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	13.288	1.006	0.997	1.804	7.639	16.795	14.991	5.857	4.888	113.277	-11.15	-11.774	0.996823	0.24	0.019829	0.0	3.037	5.918	8.712	10.756	12.079	0.472	2.798	5.847	8.893	10.841	11.94	-0.472	0.239	0.071	-0.181	-0.085	0.139	5
SPBC1815.01_50	eno101	SPBC1815.01	8	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	13.445	1.283	1.003	1.643	6.271	13.534	11.891	4.858	4.946	131.614	-2.933	-3.558	0.989575	0.475	0.03729	0.0	3.983	6.781	10.646	12.738	12.375	0.395	3.487	7.365	10.531	12.121	12.84	-0.395	0.496	-0.584	0.115	0.617	-0.465	8
SPAC18G6.11c_54	rrn3	SPAC18G6.11c	8	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	12.449	1.329	0.459	1.031	5.169	11.662	10.631	3.906	4.58	135.342	-3.704	-4.328	0.989548	0.445	0.034971	0.0	4.676	7.976	10.631	11.102	12.738	0.558	4.311	8.1	10.643	11.722	12.151	-0.558	0.365	-0.124	-0.012	-0.62	0.587	8
SPBP35G2.07_55	ilv1	SPBP35G2.07	6	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	13.05	0.73	1.85	2.941	10.835	23.221	20.28	8.425	4.801	80.903	-5.303	-5.928	0.987317	0.39	0.038265	0.0	2.095	3.865	5.498	8.165	10.189	0.356	1.679	3.638	6.147	8.274	9.833	-0.356	0.416	0.227	-0.649	-0.109	0.356	6
SPAC19A8.09_18	yos1	SPAC19A8.09	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	10.098	1.135	1.467	2.01	5.938	12.102	10.092	4.739	3.715	102.699	-14.142	-14.767	0.997391	0.187	0.01906	0.0	2.631	5.902	8.274	9.793	9.634	0.143	2.56	5.944	8.408	9.446	9.842	-0.143	0.071	-0.042	-0.134	0.347	-0.208	5
SPBC12D12.03_105	cct1	SPBC12D12.03	8	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	14.051	1.089	0.322	1.11	6.811	15.757	14.647	5.071	5.169	129.853	-1.467	-2.091	0.985914	0.537	0.041415	0.0	4.204	7.269	9.244	12.28	12.96	0.766	3.702	7.031	10.071	11.9	12.894	-0.766	0.502	0.238	-0.827	0.38	0.066	8
SPBC337.12_59	red5	SPBC337.12	3	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	9.165	0.574	3.748	4.723	11.779	22.85	18.127	9.625	3.372	48.881	-16.536	-17.161	0.996202	0.153	0.021956	0.0	0.759	1.935	3.504	5.422	6.964	0.053	0.592	1.827	3.753	5.509	6.797	-0.053	0.167	0.108	-0.249	-0.087	0.167	3
SPAC24C9.03_60	mvd1	SPAC24C9.03	7	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	16.6	1.198	3.699	4.545	10.667	20.273	15.728	8.798	6.107	99.64	-13.518	-14.143	0.99847	0.197	0.014691	0.0	0.925	4.07	7.583	11.428	13.383	0.061	1.098	3.798	7.873	11.235	13.438	-0.061	-0.173	0.272	-0.29	0.193	-0.055	7
SPCC1906.01_11	mpg1	SPCC1906.01	7	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	15.078	1.2	1.028	1.795	7.347	16.058	14.262	5.652	5.547	132.346	-6.856	-7.481	0.995152	0.343	0.02515	0.0	3.649	6.858	10.1	13.009	13.62	0.506	3.284	6.929	10.45	12.6	13.763	-0.506	0.365	-0.071	-0.35	0.409	-0.143	7
SPCC18.04_143	pof6	SPCC18.04	5	YES	0.0,3.703,6.816,10.292,13.594,16.723	Success	9.52	1.025	2.222	2.788	6.889	13.324	10.535	5.637	3.502	87.99	-1.193	-1.817	0.975678	0.549	0.056293	0.0	1.725	4.667	6.942	9.755	8.553	0.052	1.635	4.689	7.37	8.637	9.156	-0.052	0.09	-0.022	-0.428	1.118	-0.603	5
